status	id	name
U	01001	salted butter
U	01002	whipped butter
U	01003	anhydrous butter oil
U	01003	butter oil
U	01004	blue cheese
U	01005	brick cheese
U	01006	brie cheese
U	01007	camembert cheese
U	01008	caraway cheese
U	01010	cheshire cheese
U	01011	colby cheese
U	01013	creamed cheese
U	01013	with fruit cheese
U	01014	dry cheese
U	01014	large or small curd cheese
U	01014	uncreamed cheese
U	01015	2% milkfat cheese
U	01018	edam cheese
U	01019	feta cheese
U	01020	fontina cheese
U	01021	gjetost cheese
U	01022	gouda cheese
U	01023	gruyere cheese
U	01024	limburger cheese
U	01031	neufchatel cheese
U	01032	grated cheese
U	01033	hard cheese
U	01034	port de salut cheese
U	01036	whole milk cheese
U	01037	part skim milk cheese
U	01037	ricotta cheese
U	01038	romano cheese
U	01039	roquefort cheese
U	01041	tilsit cheese
U	01042	fortified with vitamin d cheese
U	01043	pimento cheese
U	01045	cold pack cheese food
U	01046	vitamin d fortified cheese food
U	01047	swiss cheese food
U	01048	american cheese spread
U	01048	pasteurized process cheese spread
U	01050	light (coffee cream or table cream) cream
U	01052	light whipping cream
U	01053	fluid cream
U	01053	heavy whipping cream
U	01054	cream topping cream
U	01054	pressurized cream
U	01054	whipped cream
U	01055	reduced fat cream
U	01056	cultured cream
U	01057	eggnog
U	01058	cultured sour dressing
U	01058	filled cream-type sour dressing
U	01058	non-butterfat sour dressing
U	01058	sour dressing
U	01059	with blend of hydrogenated vegetable oils milk
U	01060	filled milk
U	01060	with lauric acid oil milk
U	01067	with hydrogenated vegetable oil and soy protein cream substitute
U	01068	with lauric acid oil and sodium caseinate cream substitute
U	01071	1.5 ounce prepared with 1/2 cup milk dessert topping
U	01071	powdered dessert topping
U	01072	pressurized dessert topping
U	01073	dessert topping
U	01073	frozen dessert topping
U	01073	semi solid dessert topping
U	01074	cultured sour cream
U	01074	imitation sour cream
U	01076	fluid milk substitutes
U	01076	milk substitutes
U	01076	with lauric acid oil milk substitutes
U	01078	3.7% milkfat milk
U	01078	producer milk
U	01080	with added nonfat milk solids and vitamin a and vitamin d milk
U	01083	vitamin a and vitamin d milk
U	01084	1% milkfat milk
U	01085	with added vitamin a and vitamin d (fat free or skim) milk
U	01086	vitamin a and vitamin d (fat free or skim) milk
U	01087	protein fortified milk
U	01087	with added vitamin a and vitamin d (fat free and skim) milk
U	01089	low sodium milk
U	01093	calcium reduced milk
U	01094	dried milk
U	01095	condensed milk
U	01095	sweetened milk
U	01096	with added vitamin d and without added vitamin a milk
U	01105	chocolate beverage milk
U	01105	homemade milk
U	01105	hot cocoa milk
U	01106	goat milk
U	01106	with added vitamin d milk
U	01107	human milk
U	01107	mature milk
U	01108	indian buffalo milk
U	01109	sheep milk
U	01110	thick chocolate milk shakes
U	01111	milk shakes
U	01111	thick vanilla milk shakes
U	01113	acid whey
U	01114	fluid whey
U	01115	dried whey
U	01115	sweet whey
U	01115	whey
U	01116	8 grams protein per 8 ounce yogurt
U	01117	12 grams protein per 8 ounce yogurt
U	01118	13 grams protein per 8 ounce yogurt
U	01118	skim milk yogurt
U	01127	sugared egg
U	01128	fried egg
U	01129	hard-boiled egg
U	01130	omelet egg
U	01131	poached egg
U	01132	cooked egg
U	01132	scrambled egg
U	01135	flakes egg
U	01136	powder egg
U	01138	duck egg
U	01139	goose egg
U	01140	quail egg
U	01141	fresh egg
U	01141	turkey egg
U	01144	powder egg substitute
U	01151	without added vitamin a and vitamin d (fat free or skim) milk
U	01152	with added nonfat milk solids milk
U	01152	without added vitamin a milk
U	01153	with added vitamin a milk
U	01154	regular milk
U	01155	instant milk
U	01156	hard type cheese
U	01157	semisoft type cheese
U	01159	goat cheese
U	01159	soft type cheese
U	01160	yolk egg
U	01161	cheese substitute
U	01161	mozzarella cheese substitute
U	01164	prepared from recipe cheese sauce
U	01165	queso anejo cheese
U	01166	queso asadero cheese
U	01167	queso chihuahua cheese
U	01169	cheddar or colby cheese
U	01169	low-sodium cheese
U	01174	2% milkfat milk
U	01175	1% fat milk
U	01178	reduced fat sour cream
U	01179	light sour cream
U	01180	fat free sour cream
U	01180	sour cream
U	01182	cheddar usda commodity
U	01182	cheese usda commodity
U	01182	reduced fat usda commodity
U	01185	fat free parmesan cheese topping
U	01185	parmesan cheese topping
U	01186	fat free cheese
U	01188	kraft cheez whiz pasteurized process cheese sauce
U	01189	kraft cheez whiz light pasteurized process cheese product
U	01190	kraft free singles american nonfat pasteurized process cheese product
U	01191	kraft velveeta pasteurized process cheese spread
U	01192	kraft velveeta light reduced fat pasteurized process cheese product
U	01193	kraft breakstone's reduced fat sour cream
U	01194	kraft breakstone's free fat free sour cream
U	01199	fat free cream
U	01200	reddi wip fat free whipped topping
U	01202	commercial milk
U	01202	with added calcium milk
U	01204	dry grated cheese
U	01206	flavored cream substitute
U	01208	provolone cheese
U	01209	blend cheese
U	01210	egg mix
U	01210	usda commodity egg mix
U	01211	3.25% milkfat milk
U	01212	dry milk
U	01212	without added vitamin d milk
U	01214	canned milk
U	01214	without added vitamin a and vitamin d milk
U	01215	fortified with vitamin d cheese product
U	01216	9 grams protein per 8 ounce yogurt
U	01217	10 grams protein per 8 ounce yogurt
U	01219	with low calorie sweetener yogurt
U	01220	11 grams protein per 8 ounce yogurt
U	01220	low fat yogurt
U	01221	sweetened with low-calorie sweetener yogurt
U	01221	vanilla or lemon flavor yogurt
U	01222	chocolate yogurt
U	01222	fortified with vitamin d yogurt
U	01223	muscle milk protein supplement
U	01224	milk based protein supplement
U	01224	muscle milk light protein supplement
U	01224	powder protein supplement
U	01224	protein supplement
U	01225	dulce de leche
U	01226	egg substitute
U	01226	fat free egg substitute
U	01226	liquid or frozen egg substitute
U	01227	dry white cheese
U	01227	queso seco cheese
U	01228	fresh cheese
U	01228	queso fresco cheese
U	01229	queso blanco cheese
U	01229	white cheese
U	01230	whole milk
U	01231	lowfat milk yogurt
U	01231	sweetened with low calorie sweetener yogurt
U	01231	vanilla flavor yogurt
U	01235	flavors not chocolate yogurt
U	01235	nonfat milk yogurt
U	01235	with low-calorie sweetener yogurt
U	01237	bar or stick ice cream
U	01237	chocolate covered ice cream
U	01239	ice cream cookie sandwich
U	01240	chocolate covered ice cream cone
U	01240	flavors other than chocolate ice cream cone
U	01240	ice cream cone
U	01240	with nuts ice cream cone
U	01241	made with light ice cream ice cream sandwich
U	01242	ice cream sandwich
U	01242	light ice cream sandwich
U	01242	no sugar added ice cream sandwich
U	01242	vanilla ice cream sandwich
U	01243	fat free ice cream
U	01243	flavors other than chocolate fat free ice cream
U	01243	no sugar added fat free ice cream
U	01244	frozen milk dessert bar
U	01244	made from lowfat milk milk dessert bar
U	01244	milk dessert bar
U	01250	liquid nutritional supplement for people with diabetes
U	01250	nutritional supplement for people with diabetes
U	01251	mexican blend cheese
U	01252	american cheese product
U	01252	vitamin d fortified cheese product
U	01253	without added vitamin d cheese
U	01255	frozen egg
U	01255	pasteurized egg
U	01255	raw egg
U	01255	salted egg
U	01255	whole egg
U	01258	dried egg
U	01258	egg
U	01258	glucose reduced egg
U	01258	stabilized egg
U	01258	white egg
U	01259	american or cheddar cheese base cheese spread
U	01259	reduced fat cheese spread
U	01260	reduced fat cheese
U	01263	chocolate ice cream
U	01263	soft serve ice cream
U	01264	stick or nugget ice cream bar
U	01264	with crunch coating ice cream bar
U	01266	nonfat or fat free cheese
U	01267	mexican cheese
U	01267	queso cotija cheese
U	01270	cheddar cheese
U	01270	sharp cheese
U	01270	sliced cheese
U	01271	low moisture cheese
U	01271	part-skim cheese
U	01271	shredded cheese
U	01280	dannon oikos yogurt
U	01281	chobani yogurt
U	01285	strawberry yogurt
U	01289	plain kefir
